Disease,Symptom1,Symptom2,Symptom3,Symptom4
Panic disorder,Anxiety and nervousness,Depression,Shortness of breath,Depressive or psychotic symptoms
Vocal cord polyp,Hoarse voice,Sore throat,Difficulty speaking,Cough
Turner syndrome,Groin mass,Leg pain,Hip pain,Suprapubic pain
Cryptorchidism,Symptoms of the scrotum and testes,Swelling of scrotum,Pain in testicles,Flatulence
Poisoning due to ethylene glycol,Abusing alcohol,Fainting,Hostile behavior,Drug abuse
Atrophic vaginitis,Vaginal itching,Vaginal dryness,Painful urination,Involuntary urination
Fracture of the hand,Hand or finger pain,Wrist pain,Hand or finger swelling,Arm pain
Cellulitis or abscess of mouth,Lip swelling,Sore throat,Toothache,Abnormal appearing skin
Eye alignment disorder,Eye deviation,Diminished vision,Double vision,Cross-eyed
Headache after lumbar puncture,Headache,Nausea,Back pain,Vomiting
Pyloric stenosis,Vomiting,Sharp abdominal pain,Infant spitting up,Vomiting blood
Salivary gland disorder,Sore throat,Peripheral edema,Neck mass,Ear pain
Osteochondrosis,Knee pain,Foot or toe pain,Bowlegged or knock-kneed,Ankle pain
Injury to the knee,Knee pain,Knee swelling,Leg pain,Problems with movement
Metabolic disorder,Weight gain,Jaundice,Mouth dryness,Muscle pain
Vaginitis,Vaginal discharge,Vaginal itching,Sharp abdominal pain,Painful urination
Sick sinus syndrome,Dizziness,Sharp chest pain,Shortness of breath,Palpitations
Tinnitus of unknown cause,Ringing in ear,Diminished hearing,Dizziness,Ear pain
Glaucoma,Diminished vision,Pain in eye,Symptoms of eye,Spots or clouds in vision
Eating disorder,Depression,Anxiety and nervousness,Depressive or psychotic symptoms,Decreased appetite
Transient ischemic attack,Loss of sensation,Dizziness,Headache,Weakness
Pyelonephritis,Side pain,Fever,Sharp abdominal pain,Back pain
Rotator cuff injury,Shoulder pain,Arm pain,Shoulder stiffness or tightness,Shoulder weakness
Chronic pain disorder,Back pain,Low back pain,Ache all over,Leg pain
Problem during pregnancy,Sharp abdominal pain,Pain during pregnancy,Problems during pregnancy,Lower abdominal pain
Liver cancer,Sharp abdominal pain,Upper abdominal pain,Stomach bloating,Changes in stool appearance
Atelectasis,Cough,Shortness of breath,Sharp chest pain,Fever
Injury to the hand,Hand or finger pain,Hand or finger swelling,Wrist pain,Hand or finger stiffness or tightness
Choledocholithiasis,Sharp abdominal pain,Upper abdominal pain,Vomiting,Nausea
Injury to the hip,Hip pain,Leg pain,Neck pain,Groin pain
Cirrhosis,Sharp abdominal pain,Shortness of breath,Peripheral edema,Fatigue
