Disease,Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Symptom6
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches,,
Fungal infection,skinrash,nodalskineruptions,dischromic patches,,,
Fungal infection,itching,nodalskineruptions,dischromic patches,,,
Fungal infection,itching,skinrash,dischromic patches,,,
Fungal infection,itching,skinrash,nodalskineruptions,,,
Fungal infection,skinrash,nodalskineruptions,dischromic patches,,,
Fungal infection,itching,nodalskineruptions,dischromic patches,,,
Fungal infection,itching,skinrash,dischromic patches,,,
Fungal infection,itching,skinrash,nodalskineruptions,,,
Fungal infection,itching,skinrash,nodalskineruptions,dischromic patches,,
Allergy,continuoussneezing,shivering,chills,wateringfromeyes,,
Allergy,shivering,chills,wateringfromeyes,,,
Allergy,continuoussneezing,chills,wateringfromeyes,,,
Allergy,continuoussneezing,shivering,wateringfromeyes,,,
Allergy,continuoussneezing,shivering,chills,,,
Allergy,shivering,chills,wateringfromeyes,,,
Allergy,continuoussneezing,chills,wateringfromeyes,,,
Allergy,continuoussneezing,shivering,wateringfromeyes,,,
Allergy,continuoussneezing,shivering,chills,,,
Allergy,continuoussneezing,shivering,chills,wateringfromeyes,,
GERD,stomachpain,acidity,ulcersontongue,vomiting,cough,chestpain
GERD,stomachpain,ulcersontongue,vomiting,cough,chestpain,
GERD,stomachpain,acidity,vomiting,cough,chestpain,
GERD,stomachpain,acidity,ulcersontongue,cough,chestpain,
GERD,stomachpain,acidity,ulcersontongue,vomiting,chestpain,
GERD,stomachpain,acidity,ulcersontongue,vomiting,cough,
GERD,acidity,ulcersontongue,vomiting,cough,chestpain,
GERD,stomachpain,ulcersontongue,vomiting,cough,chestpain,
GERD,stomachpain,acidity,vomiting,cough,chestpain,
GERD,stomachpain,acidity,ulcersontongue,cough,chestpain,
Chronic cholestasis,itching,vomiting,yellowishskin,nausea,lossofappetite,abdominalpain
Chronic cholestasis,vomiting,yellowishskin,nausea,lossofappetite,abdominalpain,yellowingofeyes
Chronic cholestasis,itching,yellowishskin,nausea,lossofappetite,abdominalpain,yellowingofeyes
Chronic cholestasis,itching,vomiting,nausea,lossofappetite,abdominalpain,yellowingofeyes
Chronic cholestasis,itching,vomiting,yellowishskin,lossofappetite,abdominalpain,yellowingofeyes
Chronic cholestasis,itching,vomiting,yellowishskin,nausea,abdominalpain,yellowingofeyes
Chronic cholestasis,itching,vomiting,yellowishskin,nausea,lossofappetite,yellowingofeyes
Chronic cholestasis,itching,vomiting,yellowishskin,nausea,lossofappetite,abdominalpain
