Facility Name,Address,City,County,Zip,Phone,License #,Facility Type,Exp. Date
Adventist Bolingbrook Hospital - DBA AdventHealth Bolingbrook,500 Remington Blvd,Bolingbrook,Will,60440,(630) 312-5000,0005496,General Hospital,2023-01-10
Adventist GlenOaks Hospital - DBA AdventHealth GlenOaks,701 Winthrop Ave,Glendale Heights,Du Page,60139,(630) 545-8000,0003814,General Hospital,2023-06-30
Adventist Midwest Health - DBA AdventHealth Hinsdale,120 North Oak Street,Hinsdale,Du Page,60521,(630) 856-9000,0000976,General Hospital,2022-12-31
Adventist Midwest Health - DBA AdventHealth La Grange,5101 South Willow Springs Road,LaGrange,Cook,60525,(708) 245-9000,0005967,General Hospital,2023-01-31
Advocate Christ Hospital & Medical Center,4440 W 95th Street,Oak Lawn,Cook,60453,(708) 684-8000,0000315,General Hospital,2022-12-31
Advocate Condell Medical Center,801 S Milwaukee Ave,Libertyville,Lake,60048,(847) 990-5201,0005579,General Hospital,2023-11-30
Advocate Health and Hospitals Corporation - DBA Good Shepherd Hospital,450 West Highway 22,Barrington,Lake,60010,(847) 381-9600,0003475,General Hospital,2022-12-31
Advocate Northside Health Network - DBA Illinois Masonic Medical Center Campus,836 W Wellington Avenue,Chicago,Cook,60657,(773) 975-1600,0005165,General Hospital,2023-11-04
Advocate Sherman Hospital,1425 North Randall Road,Elgin,Kane,60123,(224) 783-8009,0005884,General Hospital,2023-05-31
Advocate Southland Health Network - DBA Advocate South Suburban Hospital,17800 S Kedzie Avenue,Hazel Crest,Cook,60429,(708) 799-8000,0004697,General Hospital,2022-12-31
Advocate Southland Health Network - DBA Advocate Trinity Hospital,2320 E 93rd St,Chicago,Cook,60617,(773) 967-5001,0004176,General Hospital,2023-06-30
Alexian Brothers Behavioral Health Hospital,1650 Moon Lake Boulevard,Hoffman Estates,Cook,60169,(847) 882-1600,0005009,Psychiatric Hospital,2023-01-31
Alexian Brothers Medical Center,800 W Biesterfield Rd,Elk Grove Village,Cook,60007,(847) 437-5500,0002238,General Hospital,2023-06-30
Alton Memorial Hospital,1 Memorial Drive,Alton,Madison,62002,(618) 463-7311,0000026,General Hospital,2023-12-31
Anderson Hospital,6800 State Route 162,Maryville,Madison,62062,(618) 288-5711,0004119,General Hospital,2022-12-31
"Anderson Rehabilitation Institute, LLC - DBA Anderson Rehabilitation Institute",3402 Anderson Healthcare Drive,Edwardsville,Madison,62025,(618) 307-7900,0006239,Rehabilitation Hospital,2023-07-21
Ann & Robert H Lurie Children's Hospital of Chicago - DBA Lurie Children's,225 East Chicago Avenue Box 140,Chicago,Cook,60611,(312) 227-4000,0005843,Pediatric Hospital,2023-06-08
Anna Hospital Corporation - DBA Union County Hospital,517 North Main Street,Anna,Union,62906,(618) 833-4511,0005421,Critical Access Hospital,2023-10-31
"BHC Streamwood Hospital, Inc. - DBA Streamwood Hospital",1400 E Irving Park Rd,Streamwood,Cook,60107,(630) 837-9000,0004762,Psychiatric Hospital,2022-11-30
Blessing Care Corporation - DBA Illini Community Hospital,640 W Washington St,Pittsfield,Pike,62363,(217) 285-2113,0005132,Critical Access Hospital,2023-04-30
Blessing Hospital,1005 Broadway St,Quincy,Adams,62301,(217) 223-1200,0000141,General Hospital,2023-12-31
Carle BroMenn Medical Center,1304 Franklin Avenue,Normal,Mc Lean,61761,(309) 454-1400,0006189,General Hospital,2023-06-30
Carle Eureka Hospital,101 South Major Street,Eureka,Woodford,61530,(309) 467-2371,0006171,Critical Access Hospital,2023-06-30
Carlinville Area Hospital Association,20733 N Broad St,Carlinville,Macoupin,62626,(217) 854-3141,0005686,Critical Access Hospital,2023-07-30
Central DuPage Hospital - DBA Northwestern Medicine Central DuPage Hospital,25 N Winfield Rd,Winfield,Du Page,60190,(630) 933-1600,0005744,General Hospital,2023-03-30
CGH Medical Center,100 East Lefevre Road,Sterling,Whiteside,61081,(815) 625-0400,0000364,General Hospital,2022-12-31
Chicago Behavioral Hospital,555 Wilson Lane,Des Plaines,Cook,60016,(847) 768-5430,0005934,Psychiatric Hospital,2023-11-02
Chicago BH Hospital - DBA Montrose Behavioral Health Hospital,"4840 N Marine Dr, 4720 N Clarendon Ave",Chicago,Cook,60640,(615) 861-6000,0006296,Psychiatric Hospital,2022-12-16
Clay County Hospital,911 Stacy Burk Drive,Flora,Clay,62839,(618) 662-2131,0000331,Critical Access Hospital,2023-06-30
"Community First Healthcare of Illinois, Inc - DBA Community First Medical Center",5645 W Addison St,Chicago,Cook,60634,(773) 282-7000,0005959,General Hospital,2022-12-31
Community Hospital of Staunton,400 N Caldwell St,Staunton,Macoupin,62088,(618) 635-2200,0000414,Critical Access Hospital,2023-06-30
"Copley Memorial Hospital, Inc - DBA Rush Copley Medical Center",2000 Ogden Ave,Aurora,Kane,60504,(630) 978-6200,0004671,General Hospital,2023-11-17
Crawford Memorial Hospital,1000 N. Allen Street,Robinson,Crawford,62454,(618) 544-3131,0000455,Critical Access Hospital,2023-12-31
Crossroads Community Hospital,8 Doctors Park Rd,Mt Vernon,Jefferson,62864,(618) 244-5500,0003947,General Hospital,2023-06-30
